,x,y,power,speed,spot_diameter,laser_current,signal,ID1,ID2,C1,C2,delta,scan_number,in_control
51,-20.646183013916016,-80.25823211669922,4800.0,1500.0,100.0,4526.0,1397.0,1.0,0.0,0.0,20.0,0.014714240096509457,0.0,1.0
52,-20.660778045654297,-80.25973510742188,4800.0,1500.0,100.0,4528.0,1371.0,1.0,0.0,0.0,20.0,0.014672216027975082,0.0,1.0
53,-20.675748825073242,-80.2615966796875,4800.0,1500.0,100.0,4529.0,1371.0,1.0,0.0,0.0,20.0,0.015086076222360134,0.0,1.0
54,-20.690719604492188,-80.26347351074219,4800.0,1500.0,100.0,4529.0,1380.0,1.0,0.0,0.0,20.0,0.015087965875864029,0.0,1.0
55,-20.706436157226562,-80.26496887207031,4800.0,1500.0,100.0,4529.0,1397.0,1.0,0.0,0.0,20.0,0.015787530690431595,0.0,1.0
56,-20.721406936645508,-80.266845703125,4800.0,1500.0,100.0,4529.0,1354.0,1.0,0.0,0.0,20.0,0.015087965875864029,0.0,1.0
57,-20.737125396728516,-80.26834106445312,4800.0,1500.0,100.0,4525.0,1380.0,1.0,0.0,0.0,20.0,0.01578943058848381,0.0,1.0
58,-20.752470016479492,-80.27021026611328,4800.0,1500.0,100.0,4526.0,1388.0,1.0,0.0,0.0,20.0,0.015458048321306705,0.0,1.0
59,-20.76781463623047,-80.2717056274414,4800.0,1500.0,100.0,4529.0,1326.0,1.0,0.0,0.0,20.0,0.015417310409247875,0.0,1.0
60,-20.78240966796875,-80.27357482910156,4800.0,1500.0,100.0,4528.0,1289.0,1.0,0.0,0.0,20.0,0.014714240096509457,0.0,1.0
61,-20.797754287719727,-80.27545166015625,4800.0,1500.0,100.0,4528.0,1217.0,1.0,0.0,0.0,20.0,0.015458973124623299,0.0,1.0
62,-20.81235122680664,-80.27694702148438,4800.0,1500.0,100.0,4529.0,1206.0,1.0,0.0,0.0,20.0,0.014673333615064621,0.0,1.0
63,-20.826946258544922,-80.2784423828125,4800.0,1500.0,100.0,4528.0,1206.0,1.0,0.0,0.0,20.0,0.01467143651098013,0.0,1.0
64,-20.841541290283203,-80.27993774414062,4800.0,1500.0,100.0,4529.0,1269.0,1.0,0.0,0.0,20.0,0.01467143651098013,0.0,1.0
65,-20.856138229370117,-80.28106689453125,4800.0,1500.0,100.0,4529.0,1269.0,1.0,0.0,0.0,20.0,0.014640546403825283,0.0,1.0
66,-20.8707332611084,-80.28256225585938,4800.0,1500.0,100.0,4529.0,1184.0,1.0,0.0,0.0,20.0,0.01467143651098013,0.0,1.0
67,-20.886077880859375,-80.2840576171875,4800.0,1500.0,100.0,4526.0,1228.0,1.0,0.0,0.0,20.0,0.015417310409247875,0.0,1.0
68,-20.90104866027832,-80.28555297851562,4800.0,1500.0,100.0,4528.0,1124.0,1.0,0.0,0.0,20.0,0.015045275911688805,0.0,1.0
69,-20.9156436920166,-80.28668212890625,4800.0,1500.0,100.0,4527.0,1161.0,1.0,0.0,0.0,20.0,0.014638645574450493,0.0,1.0
70,-20.93136215209961,-80.28817749023438,4800.0,1500.0,100.0,4529.0,1259.0,1.0,0.0,0.0,20.0,0.01578943058848381,0.0,1.0
71,-20.94595718383789,-80.28929138183594,4800.0,1500.0,100.0,4531.0,1298.0,1.0,0.0,0.0,20.0,0.014637475833296776,0.0,1.0
72,-20.9613037109375,-80.2907943725586,4800.0,1500.0,100.0,4529.0,1298.0,1.0,0.0,0.0,20.0,0.01541995070874691,0.0,1.0
73,-20.976272583007812,-80.29228973388672,4800.0,1500.0,100.0,4531.0,1269.0,1.0,0.0,0.0,20.0,0.015043378807604313,0.0,1.0
74,-20.991243362426758,-80.29415893554688,4800.0,1500.0,100.0,4532.0,1259.0,1.0,0.0,0.0,20.0,0.015087018720805645,0.0,1.0
75,-21.00583839416504,-80.295654296875,4800.0,1500.0,100.0,4528.0,1248.0,1.0,0.0,0.0,20.0,0.01467143651098013,0.0,1.0
76,-21.020809173583984,-80.29715728759766,4800.0,1500.0,100.0,4528.0,1248.0,1.0,0.0,0.0,20.0,0.015046036802232265,0.0,1.0
77,-21.035404205322266,-80.29902648925781,4800.0,1500.0,100.0,4527.0,1228.0,1.0,0.0,0.0,20.0,0.014714240096509457,0.0,1.0
78,-21.050748825073242,-80.3009033203125,4800.0,1500.0,100.0,4523.0,1289.0,1.0,0.0,0.0,20.0,0.015458973124623299,0.0,1.0
79,-21.065343856811523,-80.30239868164062,4800.0,1500.0,100.0,4526.0,1289.0,1.0,0.0,0.0,20.0,0.01467143651098013,0.0,1.0
80,-21.079940795898438,-80.30464172363281,4800.0,1500.0,100.0,4528.0,1308.0,1.0,0.0,0.0,20.0,0.014768272638320923,0.0,1.0
81,-21.09528350830078,-80.3057632446289,4800.0,1500.0,100.0,4531.0,1259.0,1.0,0.0,0.0,20.0,0.015383648686110973,0.0,1.0
82,-21.110254287719727,-80.30763244628906,4800.0,1500.0,100.0,4527.0,1217.0,1.0,0.0,0.0,20.0,0.015087018720805645,0.0,1.0
83,-21.125225067138672,-80.30950927734375,4800.0,1500.0,100.0,4527.0,1161.0,1.0,0.0,0.0,20.0,0.015087965875864029,0.0,1.0
84,-21.14056968688965,-80.3113784790039,4800.0,1500.0,100.0,4531.0,1217.0,1.0,0.0,0.0,20.0,0.015458048321306705,0.0,1.0
85,-21.15516471862793,-80.31287384033203,4800.0,1500.0,100.0,4527.0,1206.0,1.0,0.0,0.0,20.0,0.01467143651098013,0.0,1.0
86,-21.169761657714844,-80.31437683105469,4800.0,1500.0,100.0,4528.0,1238.0,1.0,0.0,0.0,20.0,0.014674113132059574,0.0,1.0
87,-21.184730529785156,-80.31587219238281,4800.0,1500.0,100.0,4527.0,1206.0,1.0,0.0,0.0,20.0,0.015043378807604313,0.0,1.0
88,-21.199325561523438,-80.31736755371094,4800.0,1500.0,100.0,4523.0,1206.0,1.0,0.0,0.0,20.0,0.01467143651098013,0.0,1.0
89,-21.21392250061035,-80.3192367553711,4800.0,1500.0,100.0,4527.0,1298.0,1.0,0.0,0.0,20.0,0.0147161316126585,0.0,1.0
90,-21.228517532348633,-80.32073211669922,4800.0,1500.0,100.0,4528.0,1259.0,1.0,0.0,0.0,20.0,0.01467143651098013,0.0,1.0
91,-21.243114471435547,-80.32185363769531,4800.0,1500.0,100.0,4526.0,1238.0,1.0,0.0,0.0,20.0,0.01463996060192585,0.0,1.0
92,-21.257709503173828,-80.32334899902344,4800.0,1500.0,100.0,4525.0,1269.0,1.0,0.0,0.0,20.0,0.01467143651098013,0.0,1.0
93,-21.272680282592773,-80.3248519897461,4800.0,1500.0,100.0,4529.0,1137.0,1.0,0.0,0.0,20.0,0.015046036802232265,0.0,1.0
94,-21.286901473999023,-80.32597351074219,4800.0,1500.0,100.0,4527.0,1259.0,1.0,0.0,0.0,20.0,0.014265346340835094,0.0,1.0
95,-21.30187225341797,-80.32746887207031,4800.0,1500.0,100.0,4528.0,1195.0,1.0,0.0,0.0,20.0,0.015045275911688805,0.0,1.0
96,-21.317214965820312,-80.32896423339844,4800.0,1500.0,100.0,4529.0,1228.0,1.0,0.0,0.0,20.0,0.015415412373840809,0.0,1.0
97,-21.332185745239258,-80.33045959472656,4800.0,1500.0,100.0,4527.0,1206.0,1.0,0.0,0.0,20.0,0.015045275911688805,0.0,1.0
98,-21.347156524658203,-80.33196258544922,4800.0,1500.0,100.0,4525.0,1269.0,1.0,0.0,0.0,20.0,0.015046036802232265,0.0,1.0
99,-21.362499237060547,-80.33345794677734,4800.0,1500.0,100.0,4529.0,1195.0,1.0,0.0,0.0,20.0,0.015415412373840809,0.0,1.0
100,-21.377470016479492,-80.33495330810547,4800.0,1500.0,100.0,4527.0,1206.0,1.0,0.0,0.0,20.0,0.015045275911688805,0.0,1.0
101,-21.392440795898438,-80.33682250976562,4800.0,1500.0,100.0,4527.0,1206.0,1.0,0.0,0.0,20.0,0.015087018720805645,0.0,1.0
102,-21.408159255981445,-80.33795166015625,4800.0,1500.0,100.0,4528.0,1345.0,1.0,0.0,0.0,20.0,0.01575896516442299,0.0,1.0
