mean,max,min,stddev,file,scan_number,subsegment_index,mean_laser_current,bulk
1546.0261437908496,1787.0,1206.0,115.3626817307488,layer1.csv,76,1,4508.3725490196075,1.0
1597.137254901961,1871.0,1195.0,138.1048696364507,layer1.csv,77,0,4506.679738562091,1.0
1604.2287581699347,1896.0,1437.0,99.27617099393,layer1.csv,77,1,4507.104575163398,1.0
1596.6078431372548,1773.0,1248.0,98.29695141477912,layer1.csv,78,0,4506.326797385621,1.0
1554.8815789473683,1753.0,1345.0,81.82474325064052,layer1.csv,78,1,4505.276315789473,1.0
1539.2810457516339,1828.0,1279.0,115.13569473811314,layer1.csv,79,0,4504.006535947712,1.0
1550.5816993464052,1712.0,1317.0,77.93650963680066,layer1.csv,79,1,4505.9607843137255,1.0
1567.3725490196077,1748.0,1086.0,120.1080604062369,layer1.csv,80,0,4502.934640522876,1.0
1622.046052631579,1833.0,1336.0,105.77591376011225,layer1.csv,80,1,4504.4671052631575,1.0
1538.375,1801.0,1018.0,112.3197862132937,layer1.csv,81,0,4501.8421052631575,1.0
1485.2763157894738,1674.0,1269.0,83.06308615241451,layer1.csv,81,1,4503.848684210527,1.0
1585.032894736842,1777.0,1269.0,93.73495793453432,layer1.csv,82,0,4501.578947368421,1.0
1494.657894736842,1657.0,1099.0,94.05808012963655,layer1.csv,82,1,4502.328947368421,1.0
1565.3245033112582,1787.0,958.0,137.27482704891526,layer1.csv,83,0,4502.854304635762,1.0
1568.205298013245,1792.0,1354.0,113.99101381341075,layer1.csv,83,1,4502.900662251655,1.0
1545.2251655629138,1728.0,1195.0,96.53350461052271,layer1.csv,84,0,4501.2913907284765,1.0
1494.8940397350993,1792.0,1317.0,116.84206538152661,layer1.csv,84,1,4503.456953642384,1.0
1583.2847682119204,1763.0,1195.0,99.87862683837048,layer1.csv,85,0,4500.092715231788,1.0
1513.887417218543,1685.0,1354.0,80.0163512301715,layer1.csv,85,1,4500.847682119205,1.0
1546.2251655629138,1728.0,1317.0,95.63230993990885,layer1.csv,86,0,4499.205298013245,1.0
1524.46,1680.0,1289.0,91.54180320123334,layer1.csv,86,1,4500.413333333333,1.0
1632.1733333333334,1854.0,1217.0,107.35391603890791,layer1.csv,87,0,4498.3133333333335,1.0
1561.2666666666667,1722.0,1269.0,72.2253571969168,layer1.csv,87,1,4499.306666666666,1.0
1602.86,1819.0,1289.0,87.91571948936853,layer1.csv,88,0,4497.413333333333,1.0
1610.7333333333333,1815.0,1269.0,120.18062332265639,layer1.csv,88,1,4499.8,1.0
